tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 77842052,51441,51451,34567,0.451,0.04673387317948838,0.0
TIC 277725683,40165,40186,27486,3.251,0.034194849530254964,1.5973580773290999e-298
TIC 243400994,87464,87478,45865,0.306,0.4465576045420692,0.0
TIC 190332444,16415,16444,16462,0.399,0.12892755452817828,7.004920268788011e-178
TIC 411357190,143880,144031,61152,2.216,0.5754514859715428,0.0
TIC 449941032,16811,16813,16892,0.455,0.607720821360312,5.3855221130241926e-182
TIC 334524122,39696,40361,29885,3.295,0.8509902283877191,0.0
TIC 276453848,41024,41046,29596,0.306,0.5497182083622186,0.0
TIC 73182755,45319,45332,30652,0.883,0.2074743897679021,0.0
TIC 246861224,17997,18008,18297,4.264,0.1675248572799975,2.953239125950357e-195
TIC 58543110,47025,47038,31594,0.592,0.1860559029395848,0.0
TIC 327039106,37639,37648,26045,15.0,0.0451964883607785,8.796399628515608e-284
TIC 213009118,41767,41785,28977,2.106,0.07763815077332863,6.8805226e-316
TIC 150598692,17194,17196,17245,4.658,0.006631562439721089,3.045507430376395e-186
TIC 355794672,298205,298378,85072,0.362,0.04535049464031425,0.0
TIC 140031179,41813,41816,28858,3.844,0.0011666108155725344,4.25562926e-315
TIC 255488269,43988,43993,31084,0.483,0.035210005425898264,0.0
TIC 316295827,11553,11562,11700,4.252,0.32679395914356124,1.0728390083792681e-123
TIC 350768519,14290,14305,14346,0.71,0.2755814756521027,3.9076202413949607e-154
TIC 82525365,13194,13196,13255,6.645,0.01825468421319904,8.024925646675905e-142
TIC 241683370,11672,11674,11699,0.891,0.021907570977503708,6.16499499164049e-125
TIC 112233050,16264,16267,16342,15.0,0.0012714971976506221,6.281924386109649e-176
TIC 266011945,39191,39273,26697,1.026,0.401965371217359,7.419191739265503e-289
TIC 349005337,46448,46465,31377,0.652,0.07879066450001772,0.0
TIC 280675564,145021,145710,62340,3.652,0.6261692853725171,0.0
TIC 266002317,17419,17421,17456,0.841,0.0019574851439620113,9.728491388110388e-189
TIC 73308877,41139,41145,26520,0.346,0.034535283686952155,1.8494767736908985e-288
TIC 382248311,17139,17145,17220,1.069,0.07056841224879676,1.1132197812678798e-185
TIC 337359464,77899,78018,44530,7.531,0.6337133302061415,0.0
TIC 454120432,51116,51142,34330,6.329,0.14820705497033335,0.0
TIC 80033631,14382,14392,14625,6.308,0.009083403186675457,3.97729568400609e-155
TIC 344552743,47882,47885,30753,0.343,0.4580268877917685,0.0
TIC 370825476,42378,42406,27152,3.275,0.23216410064461937,2.428269180834271e-295
TIC 404144841,84810,84832,45903,0.224,0.1644259008936613,0.0
TIC 14087575,51347,51469,34700,1.242,0.5401504390251451,0.0
TIC 137823194,89649,90126,49238,1.622,0.41759683715401225,0.0
TIC 339397736,48920,48936,32197,1.263,0.040079479222002445,0.0
TIC 344660641,12862,12898,12964,1.254,0.6712315399170685,1.6282823420757287e-138
TIC 302417238,146928,147306,65561,2.742,0.5876452800073262,0.0
TIC 258101273,13218,13234,13252,1.079,0.9488354633696311,3.027155017015695e-142
TIC 165818534,191745,192706,80810,3.404,0.49101172293652856,0.0
TIC 11568422,16510,16513,16599,0.548,0.5131749704575267,1.1961414487780852e-178
TIC 112464324,46408,46434,30978,0.414,0.06391357274829094,0.0
TIC 36124955,44873,45937,31178,1.88,0.8520952106982173,0.0
TIC 268018088,46941,46946,31556,1.43,0.007486702974978178,0.0
TIC 47590073,45211,45228,30874,6.843,0.14127775974349205,0.0
TIC 467368706,148784,150486,63177,1.813,0.8725619331497604,0.0
TIC 48064387,41465,41491,29943,1.272,0.19660334031773047,0.0
TIC 243153498,77569,78070,39599,1.093,0.8014137426176617,0.0
TIC 440686535,41527,41532,28671,0.462,0.024813734493403693,9.632175279e-313
TIC 454715223,79937,79955,42407,1.489,0.059425160006090605,0.0
TIC 169530372,51063,51083,34491,0.304,0.3888912505787558,0.0
TIC 399020708,11590,11590,11700,0.443,0.15840355950678636,5.260089748113643e-124
TIC 338091463,14295,14307,14347,1.043,0.17634377289924422,3.713165804116573e-154
TIC 144155582,20464,20738,30004,8.463,0.3898794237512449,1.2804196819367556e-192
TIC 125840950,16870,16874,16907,0.102,0.0010248665415459352,1.1323838712855381e-182
TIC 58833495,11733,11741,11848,9.821,0.17425879261380117,1.110201710614569e-125
TIC 165941376,40884,40894,28812,6.619,0.3977553014685858,4.57684697959e-312
TIC 411874804,84878,84896,45951,0.55,0.7183349891667521,0.0
TIC 77951245,97833,97856,49356,5.747,0.188718363339301,0.0
TIC 308245136,93178,94003,48253,1.612,0.8580160597528164,0.0
TIC 58583881,12985,13002,13303,5.673,0.3018642121189833,1.1207522979619225e-139
TIC 166787846,158326,158335,63362,0.461,0.41389751525793855,0.0
TIC 266842406,84694,84792,42383,5.16,0.08641550661637591,0.0
TIC 122083452,11616,11631,11700,1.068,0.2962753856236565,1.8490184480683279e-124
TIC 280945693,86662,86688,46843,0.636,0.8279888424307477,0.0
TIC 233514176,356651,357035,103037,1.292,0.011779205709403828,0.0
TIC 288354068,16563,16568,16761,1.854,0.06198512746288701,2.8222049278595168e-179
TIC 29853348,41419,41464,28624,0.703,0.8940348078394575,1.380581421185e-312
TIC 119855395,14489,14495,14653,4.891,0.03231018350665551,2.866756771345421e-156
TIC 64703341,84319,84325,44555,0.287,0.3591713884600017,0.0
TIC 365637508,43708,44287,31744,2.698,0.9599639402124778,0.0
TIC 258908663,27332,27445,27440,6.059,0.5097500081395041,1.4678922924000468e-222
