,0
0,TIC_101433378
1,TIC_103101099
2,TIC_103107644
3,TIC_105710145
4,TIC_112176566
5,TIC_112233050
6,TIC_112464324
7,TIC_112472211
8,TIC_113500710
9,TIC_113951967
10,TIC_11568422
11,TIC_118053599
12,TIC_118278380
13,TIC_118807628
14,TIC_118833673
15,TIC_119855395
16,TIC_120334442
17,TIC_120334451
18,TIC_120933455
19,TIC_121049033
20,TIC_122083452
21,TIC_122288890
22,TIC_123027358
23,TIC_1232360
24,TIC_12471629
25,TIC_12509218
26,TIC_125840950
27,TIC_129623324
28,TIC_133974737
29,TIC_134631370
30,TIC_134873712
31,TIC_136885277
32,TIC_137823194
33,TIC_138473191
34,TIC_139725285
35,TIC_140031179
36,TIC_140045538
37,TIC_14087575
38,TIC_141146667
39,TIC_142264088
40,TIC_142391477
41,TIC_143268184
42,TIC_143995063
43,TIC_144126053
44,TIC_144155582
45,TIC_144282456
46,TIC_144289734
47,TIC_144667802
48,TIC_149347629
49,TIC_149771158
50,TIC_150068381
51,TIC_150598692
52,TIC_151610256
53,TIC_152176559
54,TIC_152479307
55,TIC_155657581
56,TIC_156084049
57,TIC_156364508
58,TIC_159580128
59,TIC_160004720
60,TIC_160329609
61,TIC_162143408
62,TIC_164210761
63,TIC_165818534
64,TIC_165909066
65,TIC_165941376
66,TIC_166787846
67,TIC_166852313
68,TIC_166869904
69,TIC_167572975
70,TIC_167664935
71,TIC_169385570
72,TIC_169530372
73,TIC_170631655
74,TIC_170671853
75,TIC_171773770
76,TIC_17251144
77,TIC_17399504
78,TIC_17417151
79,TIC_176876546
80,TIC_177309964
81,TIC_178931743
82,TIC_180258068
83,TIC_184899004
84,TIC_185462761
85,TIC_186779497
86,TIC_187681788
87,TIC_190332444
88,TIC_190885165
89,TIC_192543856
90,TIC_193136669
91,TIC_197005132
92,TIC_197884260
93,TIC_197960398
94,TIC_198511704
95,TIC_200668936
96,TIC_20090694
97,TIC_201858667
98,TIC_203036339
99,TIC_203233128
100,TIC_206327797
101,TIC_206605715
102,TIC_206605718
103,TIC_209291266
104,TIC_213009118
105,TIC_213240679
106,TIC_217182385
107,TIC_219258986
108,TIC_219290316
109,TIC_219993473
110,TIC_220556639
111,TIC_220617943
112,TIC_221355243
113,TIC_22507789
114,TIC_229945262
115,TIC_231267979
116,TIC_231294802
117,TIC_232965288
118,TIC_233494936
119,TIC_233514176
120,TIC_234333175
121,TIC_238831201
122,TIC_239134011
123,TIC_240454319
124,TIC_241467204
125,TIC_241661288
126,TIC_241683370
127,TIC_243153498
128,TIC_243400994
129,TIC_24401034
130,TIC_244161191
131,TIC_24452802
132,TIC_245066871
133,TIC_245271960
134,TIC_245339150
135,TIC_245821503
136,TIC_245865895
137,TIC_245936201
138,TIC_246861224
139,TIC_247439284
140,TIC_250081915
141,TIC_25171265
142,TIC_251845153
143,TIC_251845156
144,TIC_251846450
145,TIC_251878167
146,TIC_255236579
147,TIC_255488269
148,TIC_255551163
149,TIC_256168939
150,TIC_257048637
151,TIC_258101273
152,TIC_258382306
153,TIC_258382313
154,TIC_258908663
155,TIC_260778617
156,TIC_260889990
157,TIC_264599508
158,TIC_266002317
159,TIC_266011945
160,TIC_266271836
161,TIC_266744225
162,TIC_266842406
163,TIC_268018088
164,TIC_268862481
165,TIC_269077806
166,TIC_269919096
167,TIC_270623499
168,TIC_274801993
169,TIC_276453848
170,TIC_277725683
171,TIC_278731274
172,TIC_279640409
173,TIC_280675564
174,TIC_280945693
175,TIC_281573523
176,TIC_281757097
177,TIC_284865356
178,TIC_287132854
179,TIC_287354092
180,TIC_288354068
181,TIC_289840926
182,TIC_289840928
183,TIC_290674357
184,TIC_291074569
185,TIC_294159330
186,TIC_294328887
187,TIC_294993587
188,TIC_297855749
189,TIC_29853348
190,TIC_300866996
191,TIC_301048970
192,TIC_302417238
193,TIC_302769205
194,TIC_302904748
195,TIC_303048907
196,TIC_305535780
197,TIC_306779230
198,TIC_306927574
199,TIC_307255082
200,TIC_307757953
201,TIC_308186412
202,TIC_308245136
203,TIC_309028466
204,TIC_309252516
205,TIC_309299238
206,TIC_309617141
207,TIC_311091687
208,TIC_311092148
209,TIC_312185848
210,TIC_312617534
211,TIC_316295827
212,TIC_318886387
213,TIC_319739812
214,TIC_321805583
215,TIC_322275995
216,TIC_32545814
217,TIC_326538701
218,TIC_327039106
219,TIC_327873544
220,TIC_328480578
221,TIC_332213483
222,TIC_333734230
223,TIC_334524122
224,TIC_335370623
