TIC_ID,GDR2_RA,GDR2_DEC,NUM_OBS
101433378,300.9674,-53.9569,17182
103101099,61.2773,72.923,33796
103107644,156.3369,-42.6983,15796
105710145,156.5085,-41.0983,31036
112176566,209.7094,-33.2558,29225
112233050,111.8722,-33.0485,16338
112464324,291.1458,-34.7113,30962
112472211,291.2479,-32.0758,33565
113500710,293.5478,-30.1572,33766
113951967,54.4396,22.0082,43382
11568422,19.8641,-26.3652,16599
118053599,271.4788,-57.0755,36443
118278380,272.3738,-54.5153,36526
118807628,274.0517,-58.7355,36485
118833673,134.9776,-20.9081,12938
119855395,101.1886,-6.4313,14653
120334442,280.5203,-55.9039,17221
120334451,280.5291,-55.9074,17221
120933455,53.6354,-20.6237,14727
121049033,56.1411,-20.094,31263
122083452,227.047,-36.4553,11656
122288890,227.3472,-40.7849,29812
123027358,113.4282,-44.1046,29115
1232360,137.3147,-12.605,26539
12471629,3.4684,-25.5583,18290
12509218,3.9035,-29.7672,18292
125840950,69.2421,29.7633,16881
129623324,221.6012,-45.6687,29901
133974737,121.7044,-40.5594,43135
134631370,182.0678,-41.9475,14984
134873712,183.8776,-39.812,31104
136885277,21.3724,-17.4743,12636
137823194,292.8016,36.1245,49238
138473191,95.8984,78.0356,17022
139725285,66.9003,-23.2831,34528
140031179,126.5014,-51.903,28810
140045538,329.4214,-51.0078,32753
14087575,76.9763,-41.6017,34700
141146667,166.3122,59.2517,33379
142264088,180.658,-33.478,14958
142391477,181.8637,-32.7835,29423
143268184,117.4896,-44.047,29256
143995063,119.2705,-42.7359,29310
144126053,60.042,-42.942,48586
144155582,188.7673,-41.6108,30004
144282456,97.9614,41.4951,16481
144289734,189.3012,-40.3635,30045
144667802,84.7686,8.8057,14456
149347629,83.6485,-60.1827,358578
149771158,233.4419,-40.3008,29871
150068381,91.872,-64.1588,274464
150598692,257.3217,19.5959,17213
151610256,258.9744,-32.4137,14330
152176559,170.2725,-38.7546,29445
152479307,171.7136,-38.4154,45361
155657581,206.3928,79.397,102438
156084049,11.368,-51.6264,31770
156364508,70.9871,37.384,16872
159580128,291.0146,44.9337,54179
160004720,50.952,-36.8775,48028
160329609,91.2174,-34.5585,49616
162143408,168.359,-45.3952,44868
164210761,243.0213,-45.9405,31143
165818534,122.2307,32.8171,80808
165909066,192.4434,-47.9756,42531
165941376,31.7579,-44.1107,28811
166787846,38.5785,-51.4796,63357
166852313,40.4478,-52.9919,63757
166869904,59.1028,-31.1944,30815
167572975,101.5367,-63.6858,185618
167664935,216.3711,-41.2258,18229
169385570,292.5166,-29.6593,33747
169530372,77.9425,-17.0913,34491
170631655,66.2266,-30.4307,65648
170671853,66.9404,-33.4618,66315
171773770,216.3762,12.708,10676
17251144,308.1479,35.977,27117
17399504,264.5176,-47.0148,32584
17417151,66.5052,23.221,31376
176876546,182.8348,-8.0436,15495
177309964,103.4526,-75.7038,391467
178931743,209.492,-37.993,11701
180258068,180.0063,-17.5254,29624
184899004,131.1879,18.2165,47899
185462761,232.4658,-26.815,29932
186779497,133.5086,-30.8602,26575
187681788,78.3991,37.7889,16720
190332444,99.1056,43.8291,15234
190885165,326.0872,42.1946,25129
192543856,154.5559,-20.4776,29284
193136669,157.1905,-28.5105,30164
197005132,277.555,-32.6396,17211
197884260,56.7261,-57.5611,76752
197960398,348.3201,-49.5547,14317
198511704,212.1554,75.3841,51102
200668936,3.2326,-52.1377,46058
20090694,137.4767,-7.9679,12910
201858667,37.5873,-55.413,63389
203036339,37.9142,44.9438,14678
203233128,184.3039,-10.5447,15423
206327797,354.0653,-48.5836,33032
206605715,341.2512,-33.2578,12312
206605718,341.2424,-33.251,12570
209291266,210.1696,-55.2938,30188
213009118,10.5733,-3.9123,28939
213240679,257.3727,-52.5891,32600
217182385,259.9252,-46.258,14226
219258986,67.3912,-51.6476,78121
219290316,311.2011,-58.0583,33782
219993473,31.2222,-53.7713,63309
220556639,44.1968,-63.7174,81306
220617943,84.4482,-42.6752,49056
221355243,245.1301,-46.6992,31995
22507789,184.5776,-45.4782,14895
229945262,288.15,63.1514,278891
231267979,334.666,-53.4444,32585
231294802,44.83,-51.3762,59743
232965288,197.3349,68.8806,51263
233494936,248.8394,77.7552,254914
233514176,270.9037,52.2864,102989
234333175,36.1035,-70.5559,81985
238831201,341.2022,-66.8346,48371
239134011,112.0882,33.753,80584
240454319,323.446,46.0033,12932
241467204,205.7974,-51.9366,30161
241661288,207.96,-52.391,30163
241683370,208.0794,-51.3995,11677
243153498,15.7129,18.9481,39599
243400994,308.9944,27.8672,45856
24401034,81.6901,-34.0734,49291
244161191,4.8836,-5.9116,28885
24452802,82.4363,-32.6539,66796
245066871,197.9125,-49.4107,46026
245271960,199.2402,-49.2947,46041
245339150,199.596,-50.9583,46136
245821503,67.678,12.5469,66292
245865895,68.7756,13.1344,66264
245936201,69.8312,12.8834,66291
246861224,7.2291,-27.5592,18297
247439284,85.5697,15.6621,62837
250081915,352.9376,-2.7446,11134
25171265,351.0201,53.64,17194
251845153,6.9599,-32.552,33199
251845156,6.9604,-32.5569,33095
251846450,7.0604,-32.4656,33164
251878167,9.7614,-30.2109,18280
255236579,239.2707,-47.7394,12823
255488269,240.4506,-43.4546,31036
255551163,95.6507,-49.9406,60695
256168939,199.4837,-54.9282,30185
257048637,226.9861,76.2338,188434
258101273,221.1045,-71.8154,13252
258382306,192.7046,-42.5233,30355
258382313,192.6988,-42.5303,30361
258908663,197.8707,-42.8784,27440
260778617,189.0565,-53.0258,42639
260889990,350.1969,-67.3897,49914
264599508,109.4982,11.3012,81090
266002317,95.2899,0.239,17430
266011945,12.5733,8.626,26695
266271836,236.2935,-52.845,33682
266744225,116.1659,3.5506,33093
266842406,175.571,-57.1341,41984
268018088,66.7838,27.474,31512
