TIC_ID,START_DATE,END_DATE,NUM_OBS
TIC_101433378,1657.0265638038825,1682.3615874489205,17168
TIC_103101099,1816.0879765350664,1840.9309720655513,16525
TIC_103101099,1983.6295903960029,2009.3014742752318,17188
TIC_103107644,1544.3534505388336,1555.5453063600257,5047
TIC_103107644,1559.796726663677,1568.4786741675696,6143
TIC_105710145,1544.3882964487796,1568.478771806497,15659
TIC_105710145,2282.1839649191697,2305.992288720296,15309
TIC_112176566,1601.828823044443,1609.6996537700231,5595
TIC_112176566,1616.3342742326715,1623.896603140493,5390
TIC_112176566,2334.184098704155,2360.4558269834233,18132
TIC_112233050,1491.635008793344,1516.0892377082284,16264
TIC_112464324,1657.3107314480633,1682.3623245792362,15810
TIC_112464324,2036.2844205837603,2059.567448564672,14788
TIC_112472211,1657.298266031538,1682.3623814774573,16965
TIC_112472211,2036.284468472367,2060.6466495887134,16470
TIC_113500710,1657.3218298628406,1682.3624288468518,16939
TIC_113500710,2036.2844721725119,2060.6467435479854,16691
TIC_113951967,2447.6911472753272,2455.940566021889,5874
TIC_113951967,2461.241067097745,2469.818255818288,6140
TIC_113951967,2474.1700175439714,2524.445184297349,31018
TIC_11568422,2115.8905417870237,2141.8152444199186,16510
TIC_118053599,1659.1726583413324,1682.3333597871745,15122
TIC_118053599,2361.7760666568,2389.722358523242,18794
TIC_118278380,1657.0269660621732,1682.3612860501655,17144
TIC_118278380,2361.776167908328,2389.722498756673,19256
TIC_118807628,1657.0267281823642,1682.3610996347766,16658
TIC_118807628,2361.777308020768,2389.7222617793154,18993
TIC_118833673,1517.9210246898956,1529.0697281938155,7940
TIC_118833673,1535.0030420827618,1542.0043319694046,4945
TIC_119855395,1468.2767718021473,1490.049242818621,14489
TIC_120334442,1657.6824086151607,1682.3613662342452,16274
TIC_120334451,1659.2921411840414,1682.3613661690524,9395
TIC_120933455,1410.9069206018821,1436.4709855859533,14723
TIC_121049033,1410.906825979974,1436.4209966548376,14629
TIC_121049033,2144.5190716035017,2169.9484163053385,16549
TIC_122083452,1601.349437999658,1609.6996466212388,5932
TIC_122083452,1615.8927592749092,1623.8969445480295,5684
TIC_122288890,1601.3492556634617,1609.6994787969106,5935
TIC_122288890,1615.8926052956226,1623.8968097865845,5728
TIC_122288890,2334.332374891347,2360.5561877371365,18047
TIC_123027358,1491.6340388097067,1529.0675058386682,23998
TIC_123027358,1535.0007692287434,1542.0020297018905,4988
TIC_1232360,1517.9367421693778,1529.0701619908286,7838
TIC_1232360,1535.0034662131118,1542.0047381159154,4780
TIC_1232360,2255.935129675539,2267.1531398630514,7799
TIC_1232360,2272.0169512901416,2279.9834046458755,5679
TIC_125840950,1816.0900525973934,1841.1536243845046,16870
TIC_129623324,1601.3490919090134,1609.6992707687846,5942
TIC_129623324,1615.8923692165256,1623.8965386939497,5738
TIC_129623324,2334.2335834184682,2360.5558930894917,18189
TIC_133974737,1491.6342674647656,1529.0680625611844,24030
TIC_133974737,1535.001358385965,1542.0026501340885,5008
TIC_133974737,2255.6927615258896,2267.15102358811,8036
TIC_133974737,2272.014853388565,2279.981361228765,5712
TIC_134631370,1571.3417571648831,1595.6849044173925,14966
TIC_134873712,1571.36412040732,1581.7892719730726,1995
TIC_134873712,1586.2920527722822,1592.7823119308412,2096
TIC_134873712,2310.8264624330745,2317.320938085818,1937
TIC_134873712,2321.380636179404,2332.447153287377,5565
TIC_136885277,1385.953651811775,1406.21893331565,12520
TIC_137823194,1683.3570497429737,1690.101512953558,4675
TIC_137823194,1695.1209631830625,1704.4417243669964,5820
TIC_137823194,1709.3916671636719,1710.2069365200643,576
TIC_137823194,2390.6563090593904,2446.581503339333,37176
TIC_138473191,2390.650222711691,2418.8506178782777,16983
TIC_139725285,1438.1344938206591,1463.6787148411436,17102
TIC_139725285,2174.232800471067,2200.008773655241,17301
TIC_140031179,1517.8337940428592,1529.0672790684696,8000
TIC_140031179,1535.0006588279984,1568.4768404104022,20794
TIC_14087575,1438.1383937659257,1463.6731261256868,16959
TIC_14087575,2174.231175694536,2200.1046738042223,17429
TIC_141146667,2419.985943977075,2446.5747381357082,18290
TIC_141146667,2610.404555964836,2621.6309715890147,8010
TIC_141146667,2626.1892629367835,2635.989115169685,7042
TIC_142264088,1571.3630656836651,1595.6851685437814,14900
TIC_142391477,1571.6353181604306,1595.685218105971,11911
TIC_142391477,2308.7670297896743,2319.033661867077,4443
TIC_142391477,2323.36414414646,2332.5833681765016,6105
TIC_143268184,1491.6340118141575,1529.0676601583532,24117
TIC_143268184,1535.0009474794601,1542.0022348326725,4955
TIC_143995063,1491.6341096174633,1529.0678197190562,24290
TIC_143995063,1535.0011110038718,1542.0024008157754,5016
TIC_144126053,1410.9053157112728,1463.6978167663722,31292
TIC_144126053,2144.5175189391825,2169.9466322990947,16278
TIC_144155582,1571.409845309994,1571.4917920449275,31
TIC_144155582,1578.260013542047,1580.2239375302954,1225
TIC_144155582,1586.526771972246,1588.4934524773562,1239
TIC_144155582,1595.0045673814386,1595.6851168688354,441
TIC_144155582,2308.5263748192874,2332.583367430469,14592
TIC_144282456,1842.5092615441747,1868.8268828169935,16417
TIC_144289734,1571.3988095327268,1595.6851870179144,14843
TIC_144289734,2308.509783653994,2332.5834345452986,15157
TIC_144667802,1468.2776038053187,1490.0494344024805,14421
TIC_149771158,1629.1121345639954,1639.0009227345133,6867
TIC_149771158,1643.346643482799,1652.8963455930796,6838
TIC_149771158,2335.3114835683195,2360.5562939907973,16153
TIC_150598692,1983.638352853498,2009.309451938709,17194
TIC_151610256,1628.4593817141522,1639.001286378356,7293
TIC_151610256,1643.0721415263415,1652.8971355819613,7011
TIC_152176559,1572.0556792129867,1581.78898216323,5102
TIC_152176559,1585.8750308723763,1595.6498234011915,6885
TIC_152176559,2282.134226813267,2305.987337365173,15139
TIC_152479307,1571.8001725581796,1595.6846240194955,14198
TIC_152479307,2282.1773026388682,2332.582742287223,29275
TIC_155657581,1683.3518406689134,1710.202011146418,18399
TIC_155657581,1842.5056919705082,1897.7819612917274,35638
TIC_155657581,2010.2660364224075,2035.132305541723,16940
TIC_155657581,2390.6530959245442,2446.576781042321,37841
TIC_155657581,2580.531843052984,2606.9416262181408,17295
TIC_155657581,2611.2276980417128,2621.6289693396925,7397
TIC_155657581,2626.334441309579,2635.987031997512,6922
TIC_156084049,1354.1118792584505,1381.517349472351,17607
TIC_156084049,2088.246304815314,2098.190766311397,7097
TIC_156084049,2102.331030421611,2112.0434002098204,6897
TIC_156364508,1816.0898792661553,1841.1535659174704,12715
TIC_159580128,1711.3673397864065,1737.4112814001214,16342
TIC_159580128,2390.6555888913963,2446.580844534225,37763
TIC_160004720,1410.9060968653628,1436.3837044269485,14545
TIC_160004720,2115.888596975735,2169.947194249605,33399
TIC_160329609,1468.275066545422,1490.0472158968155,14303
TIC_160329609,2174.2312434966343,2227.574555710091,34184
TIC_162143408,1571.819123564569,1595.684217675863,14331
TIC_162143408,2282.1087389103395,2332.58236849704,30486
TIC_164210761,1629.4730725730794,1639.0008832496958,6598
TIC_164210761,1644.234154012535,1652.896499316718,6194
TIC_164210761,2361.776965954495,2389.6085113950685,18297
TIC_165818534,1842.5089204408584,1868.827473829273,14546
TIC_165818534,2500.4639403018195,2564.622084349393,29863
TIC_165818534,2571.227967156044,2606.9451177988767,19596
TIC_165909066,1571.309397102521,1595.6848709982787,14864
TIC_165909066,1601.3487479985513,1609.6986756824865,5930
TIC_165909066,1615.891603094234,1623.8955553341482,5708
TIC_165909066,2308.207912564769,2332.583179985037,15625
TIC_165941376,1385.952038811879,1406.217187622078,12349
TIC_165941376,2115.889199463738,2141.7014727424485,16186
TIC_166787846,1354.1105490841146,1381.516561768735,18160
TIC_166787846,1385.951307142963,1406.2164608870762,12854
TIC_166787846,2088.2422578148185,2141.9840919006783,31904
TIC_166852313,1354.1104157447992,1381.5163963029815,18185
TIC_166852313,1385.9511395035024,1406.21629691563,13088
TIC_166852313,2088.242119393741,2141.983933009363,32241
TIC_166869904,1410.906107110192,1436.2632529869168,13941
TIC_166869904,2144.5183383855315,2169.947618541825,16133
TIC_167664935,2334.20465086521,2360.5434000869004,18209
TIC_169385570,1657.1843612939902,1682.3624311001868,16916
TIC_169385570,2036.2844900529735,2060.6467281965297,16475
TIC_169530372,1438.2983997872013,1463.627840299247,16816
TIC_169530372,2174.232930102417,2200.087172504382,17431
TIC_170631655,1410.9057712752717,1463.6559429133454,31621
TIC_170631655,2144.518033747822,2169.9475744120355,16467
TIC_170631655,2174.2322942772244,2200.085998835979,17478
TIC_170671853,1410.9055560916834,1463.6945855175904,31875
TIC_170671853,2144.517812349518,2169.9473183664363,16625
TIC_170671853,2174.2320372668705,2200.1246513048677,17484
TIC_171773770,2665.277706568197,2665.590215932806,189
TIC_171773770,2669.8945151700736,2678.407235788644,5890
TIC_171773770,2685.32258478636,2691.501781555545,4400
TIC_17251144,1683.3570064841565,1720.5226718143167,20388
TIC_17251144,1724.9448643022085,1734.355801596188,6630
TIC_17399504,1628.4588186429946,1639.000789668123,7296
TIC_17399504,1643.0716778263716,1652.896752961072,7018
TIC_17399504,2361.776673277576,2389.5325216998112,18196
TIC_17417151,2474.168973864806,2524.4448450890877,31199
TIC_176876546,2282.072983573668,2305.9941008456203,15455
TIC_178931743,1601.3494746173515,1609.6994974512545,5954
TIC_178931743,1615.8924781490884,1623.8964927429113,5745
TIC_180258068,1571.917821920208,1595.6854200331466,14046
TIC_180258068,2282.121373214523,2305.993920895938,15367
TIC_184899004,2500.366972179497,2578.7056752554786,47843
TIC_185462761,1601.3495973788006,1609.6998424588667,5908
TIC_185462761,1615.8929772854644,1623.8971906021047,5716
TIC_185462761,2334.2216125368263,2360.5565720120544,18099
TIC_186779497,1517.9370146798265,1529.0690828742554,7826
TIC_186779497,1535.0024227112451,1542.0037534335886,4879
TIC_186779497,2255.8965309315245,2267.152105461555,7480
TIC_186779497,2272.015958855438,2279.9824938662755,5206
TIC_187681788,1816.0897690488327,1841.0398274952654,16672
TIC_190332444,1842.5091779081479,1868.8268366746167,16415
TIC_190885165,1711.368242075276,1718.8184033087614,5300
TIC_190885165,1724.9449088673432,1761.7335850674008,20160
TIC_192543856,1544.4381457375669,1568.4795500672287,15014
TIC_192543856,2255.848557458988,2267.1530367354217,7814
TIC_192543856,2272.016998565986,2279.983708599344,5575
TIC_193136669,1544.4335950682944,1568.479408516446,15606
TIC_193136669,2282.1375466954896,2305.99284362478,15403
TIC_197005132,1657.0276755359334,1682.3621387212909,17197
TIC_197884260,1354.1094850674253,1381.5154385923404,18032
TIC_197884260,1385.9501967139984,1406.215493130327,12162
TIC_197884260,1410.9043497269474,1436.4262398217584,14534
TIC_197884260,2088.241178709656,2112.4998413829726,14578
TIC_197884260,2144.5165029500045,2169.945297787235,16380
TIC_198511704,2419.987751305759,2446.5767157540467,18272
TIC_198511704,2580.516312149743,2635.9871663774647,32793
TIC_200668936,1354.112137445981,1380.5882537351386,17469
TIC_200668936,2061.8544731423613,2112.496213202992,28195
TIC_20090694,1518.0147313708364,1529.0703481114538,7775
TIC_20090694,1535.003637155042,1542.0048880951715,4986
TIC_201858667,1354.1105184049522,1381.5163633125092,15073
TIC_201858667,1385.9538612850877,1406.2161459098236,8937
TIC_201858667,2088.2422052360707,2141.9254284890985,30318
TIC_203036339,1790.6616149382332,1814.287907182668,14563
TIC_203233128,2554.059533429505,2578.700810980272,15213
