GDR2_1001531127264550144,TIC_11769002
GDR2_1002356654338424448,TIC_14196141
GDR2_1004662605100309632,TIC_322679394
GDR2_1004775884861011072,TIC_423235134
GDR2_1004874020570128256,TIC_11589852
GDR2_100955375251857408,TIC_246965130
GDR2_1011594579236020352,TIC_56860350
GDR2_1015252104666763264,TIC_10042427
GDR2_101557048630250880,TIC_247006776
GDR2_1021060549716965248,TIC_331942784
GDR2_1021732694918872704,TIC_328603322
GDR2_102395529325684224,TIC_353926881
GDR2_1024383166481235200,TIC_285007410
GDR2_1025610809869118208,TIC_328630245
GDR2_1025913484804411264,TIC_309754095
GDR2_102850795858406656,TIC_118303796
GDR2_1030681620057217280,TIC_445037192
GDR2_1030936912914122624,TIC_467160417
GDR2_1031033154541231616,TIC_467157177
GDR2_103174224076374016,TIC_118420636
GDR2_1035187002095806464,TIC_81104562
GDR2_1036396812779740672,TIC_459764270
GDR2_1036591632496013056,TIC_137643507
GDR2_1037783468740914432,TIC_385451606
GDR2_1040186726281197824,TIC_417835197
GDR2_1040890894760768000,TIC_73482400
GDR2_1043204576461867264,TIC_417826536
GDR2_1043702414711644416,TIC_417827013
GDR2_1044508803411672064,TIC_356488755
GDR2_1044713175134970496,TIC_457129857
GDR2_1047887224685717632,TIC_149916375
GDR2_1048841944376028672,TIC_138542580
GDR2_1052962295481395840,TIC_355834835
GDR2_1053349735891601664,TIC_356583734
GDR2_10550058882240640,TIC_365439993
GDR2_1056690636331822208,TIC_138579783
GDR2_1056826907054257664,TIC_142933407
GDR2_1059665257666556032,TIC_142808649
GDR2_1059825447062012288,TIC_103754587
GDR2_1060965331382412160,TIC_147969278
GDR2_1061822400696509696,TIC_417916069
GDR2_1063621614036281728,TIC_287178772
GDR2_1064945975792183936,TIC_86375423
GDR2_1074003202825693312,TIC_147896839
GDR2_1080028286028111872,TIC_142519975
GDR2_1081701364768366976,TIC_80943253
GDR2_1085021954307575296,TIC_73195705
GDR2_1086631914209666432,TIC_148618099
GDR2_1087777266023275904,TIC_335565272
GDR2_1088078875806596224,TIC_393254449
GDR2_1088110589845031808,TIC_393252527
GDR2_1088329908055039872,TIC_335635245
GDR2_1090977051019062912,TIC_73393284
GDR2_1096418740223846784,TIC_71332289
GDR2_1097712796689739904,TIC_99654648
GDR2_1098057012549198592,TIC_71433989
GDR2_10989519936167936,TIC_337220723
GDR2_1098999328373384064,TIC_88569900
GDR2_1099146937809882624,TIC_88566713
GDR2_1100669860197674624,TIC_88250485
GDR2_1100773729686066048,TIC_88415228
GDR2_11010067059687936,TIC_399922237
GDR2_1102797861873269504,TIC_456270564
GDR2_1103352840367457792,TIC_456296367
GDR2_110453678247338624,TIC_113876256
GDR2_110476080796691456,TIC_113809370
GDR2_110509512824259328,TIC_238346406
GDR2_110557375939726976,TIC_113876992
GDR2_110605067256525184,TIC_238346261
GDR2_1106546444908837504,TIC_396799646
GDR2_1106798748468885504,TIC_468908496
GDR2_110685537761826432,TIC_113805475
GDR2_110875611539147136,TIC_35010993
GDR2_110951890948096,TIC_347548912
GDR2_110966188106512512,TIC_28872316
GDR2_111019720578786560,TIC_28832999
GDR2_1115104184423528576,TIC_302426309
GDR2_111777318448259456,TIC_34692486
GDR2_111888055589185792,TIC_34784816
GDR2_112038692980446848,TIC_35011525
GDR2_112263229572383744,TIC_34979816
GDR2_112504748470436736,TIC_35012178
