Min_DEC_deg,Max_DEC_deg,CSV File
-90,-88,tic_dec90_00S__88_00S.csv
-88,-86,tic_dec88_00S__86_00S.csv
-86,-84,tic_dec86_00S__84_00S.csv
-84,-82,tic_dec84_00S__82_00S.csv
-82,-80,tic_dec82_00S__80_00S.csv
-80,-78,tic_dec80_00S__78_00S.csv
-78,-76,tic_dec78_00S__76_00S.csv
-76,-74,tic_dec76_00S__74_00S.csv
-74,-72,tic_dec74_00S__72_00S.csv
-72,-70,tic_dec72_00S__70_00S.csv
-70,-68,tic_dec70_00S__68_00S.csv
-68,-66,tic_dec68_00S__66_00S.csv
-66,-64,tic_dec66_00S__64_00S.csv
-64,-62,tic_dec64_00S__62_00S.csv
-62,-60,tic_dec62_00S__60_00S.csv
-60,-58,tic_dec60_00S__58_00S.csv
-58,-56,tic_dec58_00S__56_00S.csv
-56,-54,tic_dec56_00S__54_00S.csv
-54,-52,tic_dec54_00S__52_00S.csv
-52,-50,tic_dec52_00S__50_00S.csv
-50,-48,tic_dec50_00S__48_00S.csv
-48,-46,tic_dec48_00S__46_00S.csv
-46,-44,tic_dec46_00S__44_00S.csv
-44,-42,tic_dec44_00S__42_00S.csv
-42,-40,tic_dec42_00S__40_00S.csv
-40,-38,tic_dec40_00S__38_00S.csv
-38,-36,tic_dec38_00S__36_00S.csv
-36,-34,tic_dec36_00S__34_00S.csv
-34,-32,tic_dec34_00S__32_00S.csv
-32,-30,tic_dec32_00S__30_00S.csv
-30,-28,tic_dec30_00S__28_00S.csv
-28,-26,tic_dec28_00S__26_00S.csv
-26,-24,tic_dec26_00S__24_00S.csv
-24,-22,tic_dec24_00S__22_00S.csv
-22,-20,tic_dec22_00S__20_00S.csv
-20,-18,tic_dec20_00S__18_00S.csv
-18,-16,tic_dec18_00S__16_00S.csv
-16,-14,tic_dec16_00S__14_00S.csv
-14,-12,tic_dec14_00S__12_00S.csv
-12,-10,tic_dec12_00S__10_00S.csv
-10,-8,tic_dec10_00S__08_00S.csv
-8,-6,tic_dec08_00S__06_00S.csv
-6,-4,tic_dec06_00S__04_00S.csv
-4,-2,tic_dec04_00S__02_00S.csv
-2,0,tic_dec02_00S__00_00N.csv
0,2,tic_dec00_00N__02_00N.csv
2,4,tic_dec02_00N__04_00N.csv
4,6,tic_dec04_00N__06_00N.csv
6,8,tic_dec06_00N__08_00N.csv
8,10,tic_dec08_00N__10_00N.csv
10,12,tic_dec10_00N__12_00N.csv
12,14,tic_dec12_00N__14_00N.csv
14,16,tic_dec14_00N__16_00N.csv
16,18,tic_dec16_00N__18_00N.csv
18,20,tic_dec18_00N__20_00N.csv
20,22,tic_dec20_00N__22_00N.csv
22,24,tic_dec22_00N__24_00N.csv
24,26,tic_dec24_00N__26_00N.csv
26,28,tic_dec26_00N__28_00N.csv
28,30,tic_dec28_00N__30_00N.csv
30,32,tic_dec30_00N__32_00N.csv
32,34,tic_dec32_00N__34_00N.csv
34,36,tic_dec34_00N__36_00N.csv
36,38,tic_dec36_00N__38_00N.csv
38,40,tic_dec38_00N__40_00N.csv
40,42,tic_dec40_00N__42_00N.csv
42,44,tic_dec42_00N__44_00N.csv
44,46,tic_dec44_00N__46_00N.csv
46,48,tic_dec46_00N__48_00N.csv
48,50,tic_dec48_00N__50_00N.csv
50,52,tic_dec50_00N__52_00N.csv
52,54,tic_dec52_00N__54_00N.csv
54,56,tic_dec54_00N__56_00N.csv
56,58,tic_dec56_00N__58_00N.csv
58,60,tic_dec58_00N__60_00N.csv
60,62,tic_dec60_00N__62_00N.csv
62,64,tic_dec62_00N__64_00N.csv
64,66,tic_dec64_00N__66_00N.csv
66,68,tic_dec66_00N__68_00N.csv
68,70,tic_dec68_00N__70_00N.csv
70,72,tic_dec70_00N__72_00N.csv
72,74,tic_dec72_00N__74_00N.csv
74,76,tic_dec74_00N__76_00N.csv
76,78,tic_dec76_00N__78_00N.csv
78,80,tic_dec78_00N__80_00N.csv
80,82,tic_dec80_00N__82_00N.csv
82,84,tic_dec82_00N__84_00N.csv
84,86,tic_dec84_00N__86_00N.csv
86,88,tic_dec86_00N__88_00N.csv
88,90,tic_dec88_00N__90_00N.csv
