Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
3239529836638870000,73.8034,4.7175,17.8,0.34,28.3,8.4,5.7,239.80815347721824,1
6099439604319600000,217.3498,-44.7853,15.6,0.94,12.0,2.7,3.0,167.78523489932886,1
4154795132763960000,278.9114,-10.8489,14.4,1.0,,,,331.12582781456956,1
5774202930948040000,266.3687,-82.198,16.1,0.9,18.2,5.6,4.8,159.7444089456869,1
3442403338420200000,82.6082,28.2391,11.9,0.23,,,,289.01734104046244,1
3442418800302360000,83.0898,28.3245,16.1,0.89,15.6,3.3,5.3,191.57088122605364,1
4154777227001100000,279.5766,-10.6085,14.3,0.15,,,,322.5806451612903,1
1937498784187320000,351.8766,45.0985,16.7,0.24,22.8,9.6,4.3,261.0966057441253,1
6195524512419760000,204.7577,-21.6912,13.3,0.56,,,,83.82229673093043,1
1716855559591210000,192.197,78.9078,15.1,0.46,19.9,4.8,4.8,130.3780964797914,1
189388099044658000,84.5144,37.3009,14.8,0.41,14.9,4.8,3.6,150.37593984962405,1
4415242224423210000,230.4132,-1.9982,16.8,0.66,11.0,3.0,3.6,324.67532467532465,1
5329478893033610000,131.7494,-47.5497,14.1,1.0,4.9,2.0,2.2,131.06159895150722,1
3347282006225920000,88.7069,15.4706,16.0,0.21,21.4,7.3,5.8,234.192037470726,1
6096013624866280000,211.7589,-46.437,15.8,0.99,11.3,3.6,2.8,157.9778830963665,1
3972839289897270000,175.3344,16.4483,12.9,0.17,22.3,16.5,3.4,83.1255195344971,1
3972628046225890000,174.327,16.1395,16.5,0.93,8.8,2.4,3.5,316.4556962025316,1
3972946389201720000,176.7609,17.1502,15.2,0.24,19.2,8.2,2.8,174.82517482517483,1
6010671151534740000,240.6394,-36.4898,14.7,1.0,9.9,3.4,3.4,165.28925619834712,1
6010671151534740000,240.6394,-36.4912,14.6,0.96,9.0,2.9,3.0,165.28925619834712,1
5519597750685690000,122.8601,-46.1513,15.9,0.25,18.6,10.3,2.4,320.5128205128205,1
5519589573067650000,122.5066,-46.3387,16.2,0.6,,,,327.8688524590164,1
6074647919231570000,188.8248,-53.8289,16.9,0.31,36.2,10.7,4.7,141.84397163120568,1
6010652318090530000,240.8197,-36.726,14.8,0.28,21.6,9.5,5.6,138.12154696132598,1
6074661594397230000,189.9347,-54.0745,15.0,0.38,20.8,5.8,5.7,133.6898395721925,1
6074670424850400000,189.4281,-54.0756,13.6,0.98,14.0,5.9,3.5,107.18113612004286,1
5519577444081260000,122.0554,-46.0113,17.3,0.99,7.3,2.5,2.6,326.797385620915,1
5519567857714120000,121.7406,-46.2153,15.4,0.99,13.7,2.7,4.0,163.9344262295082,1
5519572564998250000,121.7359,-46.1667,16.4,0.97,8.1,2.6,3.6,332.22591362126246,1
6010690289909580000,240.2483,-36.572,16.6,0.26,27.5,7.8,5.8,180.18018018018017,1
6017592336735360000,249.4165,-38.8135,15.2,1.0,4.6,2.2,2.0,178.57142857142858,1
6004604694900150000,227.4176,-42.0518,17.8,0.24,49.0,11.6,9.8,143.47202295552367,1
6059835539127870000,191.2109,-58.7759,15.8,0.23,33.3,21.7,6.5,108.93246187363835,1
6059846877842440000,192.1755,-58.639,14.4,0.73,15.0,2.2,4.4,116.95906432748536,1
6017588969480730000,249.117,-38.866,17.6,1.0,,,,142.65335235378032,1
6017592401126420000,249.4445,-38.8125,13.9,1.0,8.0,4.1,2.3,166.11295681063123,1
6017601338986570000,249.1415,-38.802,17.1,0.89,16.6,3.6,4.7,174.82517482517483,1
4793096262961740000,84.8958,-51.2988,16.2,0.2,25.1,17.4,5.6,219.2982456140351,1
6017602747735930000,249.0521,-38.7339,15.1,0.32,18.2,8.4,2.2,169.77928692699493,1
6017590206431300000,249.2714,-38.7962,14.4,0.2,17.1,3.0,3.4,169.2047377326565,1
6017592126248470000,249.4659,-38.8358,15.7,0.89,14.3,2.6,4.6,171.82130584192439,1
6059832274952990000,191.2686,-58.8146,16.2,0.2,24.6,16.9,8.7,207.4688796680498,1
6059825467381590000,191.1002,-58.9227,9.8,1.0,3.0,0.9,0.8,111.11111111111111,1
5521551136174720000,128.675,-46.76,17.8,0.21,45.8,17.1,10.1,174.5200698080279,1
1910120841574180000,350.0947,31.9164,17.3,0.34,21.2,8.2,4.3,260.4166666666667,1
2274385504804060000,308.8758,70.3739,16.2,1.0,2.1,0.4,1.4,311.52647975077883,1
2274352382016250000,308.2268,70.0972,16.8,0.14,29.9,17.7,11.5,225.73363431151242,1
2274314586303360000,323.4451,75.1356,16.1,0.73,19.4,3.9,4.4,163.3986928104575,1
6067161859948690000,201.7991,-54.1192,14.7,0.64,14.1,5.8,2.0,143.47202295552367,1
6067137292734940000,201.1985,-54.3242,15.0,1.0,13.4,3.2,3.0,103.7344398340249,1
6067137224015450000,201.2093,-54.3402,11.4,0.44,,,,119.47431302270013,1
5342657845578640000,174.5575,-56.9636,16.0,0.13,24.0,72.1,4.7,276.24309392265195,1
4221205085283810000,300.7004,-4.5962,14.6,0.16,22.5,36.0,2.9,136.61202185792348,1
6899031982182550000,320.42,-6.6774,15.7,0.19,18.9,8.5,3.2,303.03030303030306,1
6149141309462120000,183.1962,-41.1872,17.3,0.63,35.5,13.6,9.3,125.31328320802004,1
3558088110738380000,169.093,-18.011,16.4,0.55,17.7,4.7,4.1,213.67521367521368,1
2183232039501510000,309.3242,53.8501,17.4,0.23,21.2,6.2,6.8,319.4888178913738,1
2014446078236560000,344.4738,60.074,15.5,1.0,,,,292.39766081871346,1
2183208262561750000,308.7926,53.4307,16.5,0.25,26.7,12.9,7.9,201.2072434607646,1
961621294718628000,94.3186,42.8415,16.6,0.14,23.9,78.1,4.1,324.67532467532465,1
219790145308536000,58.0092,35.855,16.3,0.66,19.8,4.8,3.6,173.91304347826087,1
219792962807341000,57.9758,35.8426,17.2,0.23,20.1,6.0,4.5,326.797385620915,1
219748810543531000,58.441,35.6491,16.3,0.86,9.3,2.4,3.7,250.62656641604008,1
219755751210563000,58.8532,35.8791,17.1,0.58,14.3,2.9,4.8,290.69767441860466,1
219811585785202000,58.3954,36.0909,16.0,1.0,4.2,2.0,1.5,280.1120448179272,1
219863572068354000,56.8822,35.4932,16.6,0.3,21.6,8.5,5.6,228.83295194508008,1
3558426657240800000,170.0754,-17.9388,15.8,0.33,23.1,6.5,4.9,153.1393568147014,1
3343603353853390000,90.2823,13.4184,16.1,0.19,38.1,17.0,7.4,112.10762331838565,1
6076396177076790000,186.7446,-53.6308,13.4,0.15,15.9,4.5,3.6,136.4256480218281,1
77007084285637900,30.6868,13.5755,12.8,0.51,,,,38.654812524159254,1
709183183145674000,126.5439,31.6193,16.2,0.26,18.9,10.6,2.9,303.03030303030306,1
709079760333245000,126.3674,31.2568,16.9,0.14,27.6,18.1,7.3,307.6923076923077,1
709192460275015000,126.7715,31.8314,15.5,0.12,25.6,28.2,6.6,220.26431718061673,1
2946830942156220000,99.4683,-16.7348,16.8,1.0,10.5,2.6,2.6,194.9317738791423,1
4111998841692220000,256.2708,-26.1904,14.8,1.0,10.3,2.7,2.9,116.41443538998836,1
6005567287273380000,230.8282,-41.2704,15.9,1.0,13.0,2.7,3.1,157.9778830963665,1
6005576117726260000,230.476,-41.2616,16.3,0.52,25.0,6.4,5.3,141.04372355430183,1
6005607896187490000,230.741,-41.0409,15.6,0.76,17.2,3.1,3.4,147.92899408284023,1
2013193665778360000,344.0142,58.1959,7.0,0.38,,,,245.09803921568627,1
5244706164260020000,153.8877,-67.6595,17.4,0.14,30.6,30.4,8.5,289.01734104046244,1
5837888190620530000,181.3714,-76.0145,17.5,0.32,,,,106.38297872340425,1
1760751735968900000,317.0262,15.9937,15.2,0.11,21.2,99.0,5.4,284.90028490028493,1
252676847332999000,68.6868,44.0449,14.1,0.12,8.7,23.5,2.7,286.5329512893983,1
4171418717746440000,271.1151,-6.4182,17.0,0.6,19.5,5.2,4.5,187.6172607879925,1
252663000358381000,69.029,44.0515,16.2,0.94,19.0,2.0,5.6,137.7410468319559,1
