,pl_name,hostname,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,has_two_min
0,11 Com b,11 Com,TIC 72437047,Gaia DR2 3946945413106333696,2,1,0,Published Confirmed,0,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,0.231,0.005,-0.005,0.0,,,,,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,2.31,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,3.8379,0.0071,-0.0071,False
2,11 UMi b,11 UMi,TIC 230061010,Gaia DR2 1696798367260229376,1,1,0,Published Confirmed,0,,,,,1.51,0.06,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.4,-0.3,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.27459539999998,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,3.82294,0.0075,-0.0075,False
5,14 And b,14 And,TIC 333225860,Gaia DR2 1920113512486282240,1,1,0,Published Confirmed,0,,,,,0.68,0.03,-0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.4,-0.3,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,4.3214,0.0073,-0.0073,False
7,14 Her b,14 Her,TIC 219483057,Gaia DR2 1385293808145621504,1,2,0,Published Confirmed,0,1766.41,0.67,-0.68,0.0,2.83,0.041,-0.041,0.0,,,,,,,,,,,,,,,,,0.3674,0.0035,-0.0038,0.0,,,,,1.0,0.02,-0.02,0.0,0.97,0.04,-0.04,0.0,4.43,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.816362100000006,17.9323,0.0073,-0.0073,5.8631,0.006,-0.006,False
14,16 Cyg B b,16 Cyg B,TIC 27533327,Gaia DR2 2135550755683407232,3,1,0,Published Confirmed,0,800.8,11.7,-11.7,0.0,1.6,,,0.0,,,,,,,,,,,,,,,,,0.634,0.082,-0.082,0.0,,,,,,,,,1.0,0.05,-0.05,0.0,4.35,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.516824299999996,21.1397,0.011,-0.0111,5.6281,0.006,-0.006,False
20,17 Sco b,17 Sco,TIC 135596590,Gaia DR2 4342464209753404416,1,1,0,Published Confirmed,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,0.06,0.03,-0.02,0.0,,,,,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,1.7,0.04,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.46208739999997,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,3.97655,0.008,-0.008,False
21,18 Del b,18 Del,TIC 354489950,Gaia DR2 1756741374681702784,2,1,0,Published Confirmed,0,993.3,3.2,-3.2,0.0,2.6,,,0.0,,,,,,,,,,,,,,,,,0.08,0.01,-0.01,0.0,,,,,8.5,,,0.0,2.3,,,0.0,2.82,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.839137800000001,76.222,0.6217,-0.6217,4.7181,0.0067,-0.0067,False
23,1RXS J160929.1-210524 b,1RXS J160929.1-210524,TIC 48964101,Gaia DR2 6243841249531772800,1,1,0,Published Confirmed,0,,,,,330.0,,,0.0,,,,,,,,,4000.0,300.0,-300.0,0.0,12.0,1.0,-1.0,0.0,,,,,1700.0,100.0,-100.0,0.0,,,,,0.85,0.2,-0.1,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.37623430000002,-21d04m59.31s,-21.083140300000004,139.135,1.332,-1.307,11.1941,0.0075,-0.0075,False
27,24 Boo b,24 Boo,TIC 441712711,Gaia DR2 1603662211901473408,1,1,0,Published Confirmed,0,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,,,,,,,,,,,,,,,,,0.042,0.048,-0.029,0.0,,,,,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,2.42,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.844648799999995,95.9863,0.63685,-0.63685,4.7812,0.0064,-0.0064,False
28,24 Sex b,24 Sex,TIC 1713457,Gaia DR2 3830897080395058048,1,2,0,Published Confirmed,0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,,,,,,,,,,,,,,,,,0.09,0.14,-0.06,0.0,,,,,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,3.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.86848659999998,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,5.6416,0.006,-0.006,False
