loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
1,1000.01,50365310,FP,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600
2,1001.01,88863718,PC,2459250.0645490,1.9316710,3.1800000,1030.0000000,10.3168000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000
3,1002.01,124709665,FP,2459202.2778700,1.8675878,2.2118642,1657.1471093,36.4328722,9.2995010,943.1090000,8924.0000000,,5.7325500
4,1003.01,106997505,FP,2458493.3957000,2.7432300,3.1670000,383.4100000,,9.3003000,7728.1700000,5388.5000000,4.1500000,
5,1004.01,238597883,FP,2459229.5490320,3.5775748,2.9347085,501.6028767,5.0501110,9.1355000,356.4370000,9219.0000000,4.1400000,2.1504000
6,1005.01,169904935,FP,2458492.5552000,4.5507200,2.5990000,3620.0000000,6.5444900,9.1309000,100.7110000,5613.0000000,,1.0900000
7,1006.01,156115721,FP,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,9.2386000,,6616.0000000,,1.5342900
8,1007.01,65212867,PC,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000
9,1008.01,440801822,FP,2458492.5213500,2.0493600,2.2340000,249.5000000,1.7160700,8.9362000,144.2970000,6858.5000000,4.2000000,0.9900000
10,1009.01,107782586,PC,2459252.7513570,1.9600296,1.8420000,2100.0000000,,8.4331000,866.1470000,8868.7000000,,
11,101.01,231663901,KP,2459036.9041040,1.4303691,1.6438728,19151.2162143,13.2504933,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740
12,1010.01,139853601,FP,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,8.4508600,485.1220000,9438.0000000,,1.0000000
13,1011.01,114018671,PC,2459231.1308440,2.4696958,2.3244437,233.4371605,1.4549384,8.2388000,52.6200000,5413.7000000,4.4600000,0.9413350
14,1012.01,427508467,PC,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000
15,1013.01,97700520,FP,2459232.2483220,5.4255548,3.9637474,14939.6342222,,7.6095000,510.2950000,8868.7000000,,
16,1014.01,96246348,PC,2459201.9730100,1.4095043,1.3502669,3554.1212006,,7.6780000,224.6720000,9307.0000000,,
17,1015.01,155044736,PC,2459229.0354060,1.3734992,1.6528441,1062.6115541,21.9288943,10.7069000,906.4960000,4897.0000000,,6.7996100
18,1016.01,175310067,FP,2459238.8311380,12.6889415,7.9201001,3232.8527885,14.0608342,10.6257000,368.6460000,7601.0000000,4.3100000,1.5364100
19,1017.01,182943944,FP,2458518.9653600,1.1042200,2.3700000,14177.7000000,21.0448000,10.6019000,406.9970000,6995.2000000,4.0700000,1.6100000
20,1018.01,291555748,FP,2458492.7807800,4.9591200,2.5090000,7440.0000000,22.9123000,10.6254000,360.5410000,5889.0000000,3.8600000,2.0000000
21,1019.01,341420329,PC,2459232.4467770,5.2340964,3.6909047,20542.2936714,24.0878820,10.6348000,399.5440000,7645.0000000,4.3000000,1.5620300
22,102.01,149603524,KP,2459384.9431220,4.4119288,3.8940000,14790.0000000,15.2023000,9.7109000,175.6310000,6280.0000000,4.3209200,1.2100000
23,1020.01,140706664,FP,2458521.2910800,3.2889200,3.7930000,10518.9000000,,10.7173000,906.8270000,8734.2000000,4.1000000,
24,1021.01,143994283,FP,2458492.9042900,1.9087900,1.9090000,618.4820000,3.3468800,10.5551000,235.9740000,6022.6000000,4.5200000,1.2200000
25,1022.01,47384844,PC,2458547.4480000,3.0957400,4.4750000,380.0000000,3.4262000,8.7292400,120.6660000,6084.0000000,4.1300000,1.4100000
26,1023.01,238374636,FP,2459303.3039690,1.3214483,3.4350000,2180.0000000,21.8839000,9.6970000,316.3980000,5050.8000000,3.5600000,2.9900000
27,1024.01,141482386,FP,2458339.7227600,18.0157000,2.5240000,610.0000000,21.6440000,10.0814000,692.2660000,4709.0000000,,7.6100000
28,1025.01,297967252,PC,2458545.1498960,9.6837920,2.3975780,4245.2906158,,5.5324000,129.8380000,8598.7000000,,
29,1026.01,388624270,FP,2459237.4597340,14.2694372,6.9350494,1246.3921871,3.7255381,9.9138000,105.6770000,5690.0000000,4.5800000,0.8538980
30,1027.01,20318757,PC,2459302.3737990,3.2834447,1.3840000,1220.0000000,2.6999400,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000
31,1027.02,20318757,PC,2459304.6284400,11.0285857,3.1640000,1770.0000000,3.1211100,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000
32,1028.01,447283466,FP,2458544.4806600,1.0160600,2.8430000,240.0000000,1.2070400,7.9059000,23.7748000,4634.0000000,4.6400000,0.6800000
33,1029.01,374908020,FP,2458365.8931300,36.2221400,5.1070000,7170.0000000,,6.8410000,,,,
34,103.01,336732616,KP,2458327.2525600,3.5478540,3.4943330,10424.3718000,14.5818410,11.5232000,411.2110000,6351.0000000,4.2289600,1.4000000
35,1030.01,464296022,FP,2458551.3274700,12.1236900,4.8490000,6142.7700000,9.2566400,9.5706000,78.4127300,4807.6000000,4.1700000,1.0700000
36,1031.01,304021498,FP,2459282.2398610,5.6496834,2.5612882,1194.3338558,6.7892616,9.7318000,270.7710000,6415.4000000,3.9800000,1.9220001
37,1032.01,146589986,PC,2459283.8298870,5.6644730,3.6459666,3449.5814551,14.3057012,9.7611000,587.1960000,10395.0000000,4.1300000,2.3383701
