TIC_ID,counts
TIC_422692632,26941
TIC_359892714,63741
TIC_363782768,17070
TIC_118278380,36400
TIC_360779428,61754
TIC_405756510,45034
TIC_345324572,30264
TIC_141146667,33342
TIC_239134011,72085
TIC_321805583,30119
TIC_258382313,30264
TIC_372515598,40210
TIC_245821503,66120
TIC_219290316,33726
TIC_137823194,48247
TIC_43451370,12743
TIC_461066586,49245
TIC_144155582,17528
TIC_294993587,26652
TIC_339397736,31881
TIC_232965288,50691
TIC_408411330,11143
TIC_260778617,42387
TIC_351680104,19317
TIC_332213483,29955
TIC_385504478,31103
TIC_266002317,17419
TIC_187681788,16672
TIC_291074569,62091
TIC_429152614,27652
TIC_436783866,30120
TIC_9966678,14489
TIC_405089321,26449
TIC_409372963,13220
TIC_151610256,14304
TIC_453808153,79352
TIC_312617534,29601
TIC_345395031,16195
TIC_101433378,17168
TIC_129623324,29869
TIC_84900299,16769
TIC_451922999,30282
TIC_57151431,19406
TIC_266271836,33017
TIC_302904748,47051
TIC_405040121,25883
TIC_57830249,29831
TIC_255551163,60562
TIC_121049033,31178
TIC_312185848,32385
TIC_269077806,32326
TIC_408589330,26524
TIC_255488269,30931
TIC_60922830,40182
TIC_138473191,16983
TIC_360205899,77744
TIC_400513376,47005
TIC_17417151,31199
TIC_369394619,28582
TIC_404144841,45783
TIC_24452802,66069
TIC_32545814,66604
TIC_428055049,14808
TIC_406173242,29134
TIC_136885277,12520
TIC_355373774,86905
TIC_382543452,31879
TIC_160004720,47944
TIC_134631370,14966
TIC_56459273,30966
TIC_233514176,102207
TIC_375565862,29630
TIC_67568168,14620
TIC_400331058,60939
TIC_266842406,42188
TIC_160329609,48487
TIC_280675564,60717
TIC_209291266,30062
TIC_77951245,49141
TIC_220617943,49000
TIC_444536794,65454
TIC_438627800,46069
TIC_169385570,33391
TIC_144667802,14421
TIC_255236579,12808
TIC_364200072,13102
TIC_348555880,14256
TIC_280945693,46732
TIC_399020708,11590
TIC_167664935,18209
TIC_372918535,31519
TIC_90723908,16216
TIC_447993848,25636
TIC_411874804,45840
TIC_309028466,15417
TIC_68565222,14215
TIC_378413560,26851
TIC_322275995,30909
TIC_264599508,81027
TIC_950715112,50161
TIC_83211097,29734
TIC_48364505,29852
TIC_245339150,45962
TIC_91853165,17205
TIC_221355243,31540
TIC_99135067,32557
TIC_333734230,31148
TIC_11568422,16510
TIC_424881692,33619
TIC_93242288,48888
TIC_142391477,22459
TIC_159580128,54105
TIC_307255082,61726
TIC_203036339,14563
TIC_165909066,42127
TIC_339308290,27921
TIC_251845153,17827
TIC_290674357,62124
TIC_119855395,14489
TIC_370825476,27000
TIC_186779497,25391
TIC_17399504,32510
TIC_197884260,75686
TIC_355794672,84667
TIC_47590073,30727
TIC_349005337,31232
TIC_140031179,28794
TIC_334524122,28696
TIC_467368706,62328
TIC_241683370,11672
TIC_20090694,12761
TIC_155657581,140432
TIC_71374255,14638
TIC_97882429,51951
TIC_393794445,44670
TIC_73308879,42162
TIC_213240679,32414
TIC_301048970,13155
TIC_302769205,30894
TIC_434100291,32967
TIC_133974737,42786
TIC_197005132,17197
TIC_335370623,25942
TIC_72564426,30198
TIC_388814426,55268
