TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_262462781,-1.0,-1.0,GDR2_3239529836638867840,73.8034,4.7175,4.17,17.8,3.5,0.34,28.3,8.4,5.7
TIC_127432971,22.0,11.0,GDR2_6099439604319602560,217.3498,-44.7853,5.96,15.6,3.0,0.94,12.0,2.7,3.0
TIC_4648941,-1.0,-1.0,GDR2_4154795132763964032,278.9114,-10.8489,3.02,14.4,2.4,1.0,nan,nan,nan
TIC_276648923,21.0,4.0,GDR2_5774202930948040064,266.3687,-82.198,6.26,16.1,3.1,0.9,18.2,5.6,4.8
TIC_73821920,-1.0,-1.0,GDR2_3442403338420195840,82.6082,28.2391,3.46,11.9,1.4,0.23,nan,nan,nan
TIC_74067534,17.0,-1.0,GDR2_3442418800302357248,83.0898,28.3245,5.22,16.1,3.0,0.89,15.6,3.3,5.3
TIC_7346660,-1.0,-1.0,GDR2_4154777227001098112,279.5766,-10.6085,3.1,14.3,1.9,0.15,nan,nan,nan
TIC_174197942,-1.0,-1.0,GDR2_1937498784187322624,351.8766,45.0985,3.83,16.7,2.9,0.24,22.8,9.6,4.3
TIC_203364491,-1.0,-1.0,GDR2_6195524512419762816,204.7577,-21.6912,11.93,13.3,2.6,0.56,nan,nan,nan
TIC_159091121,-1.0,-1.0,GDR2_1716855559591213824,192.197,78.9078,7.67,15.1,2.9,0.46,19.9,4.8,4.8
TIC_409192595,-1.0,-1.0,GDR2_189388099044657920,84.5144,37.3009,6.65,14.8,2.7,0.41,14.9,4.8,3.6
TIC_180290639,-1.0,-1.0,GDR2_4415242224423205888,230.4132,-1.9982,3.08,16.8,3.1,0.66,11.0,3.0,3.6
TIC_28827357,-1.0,-1.0,GDR2_5329478893033604992,131.7494,-47.5497,7.63,14.1,2.9,1.0,4.9,2.0,2.2
TIC_91784947,-1.0,-1.0,GDR2_3347282006225921920,88.7069,15.4706,4.27,16.0,2.8,0.21,21.4,7.3,5.8
TIC_242260454,22.0,-1.0,GDR2_6096013624866283648,211.7589,-46.437,6.33,15.8,3.2,0.99,11.3,3.6,2.8
TIC_82525365,-1.0,-1.0,GDR2_3972839289897271040,175.3344,16.4483,12.03,12.9,2.4,0.17,22.3,16.5,3.4
TIC_371812856,-1.0,-1.0,GDR2_3972628046225885952,174.327,16.1395,3.16,16.5,2.9,0.93,8.8,2.4,3.5
TIC_14721720,-1.0,-1.0,GDR2_3972946389201720576,176.7609,17.1502,5.72,15.2,2.8,0.24,19.2,8.2,2.8
TIC_59501088,22.0,12.0,GDR2_6010671151534741376,240.6394,-36.4898,6.05,14.7,2.7,1.0,9.9,3.4,3.4
TIC_59501092,22.0,12.0,GDR2_6010671151534740224,240.6394,-36.4912,6.05,14.6,2.7,0.96,9.0,2.9,3.0
TIC_81200515,9.0,-1.0,GDR2_5519597750685689984,122.8601,-46.1513,3.12,15.9,2.5,0.25,18.6,10.3,2.4
TIC_80904774,9.0,-1.0,GDR2_5519589573067653888,122.5066,-46.3387,3.05,16.2,2.7,0.6,nan,nan,nan
TIC_422082903,22.0,-1.0,GDR2_6074647919231574272,188.8248,-53.8289,7.05,16.9,3.4,0.31,36.2,10.7,4.7
TIC_69278373,22.0,22.0,GDR2_6010652318090533632,240.8197,-36.726,7.24,14.8,2.7,0.28,21.6,9.5,5.6
TIC_412129392,22.0,27.0,GDR2_6074661594397232896,189.9347,-54.0745,7.48,15.0,2.8,0.38,20.8,5.8,5.7
TIC_411676439,22.0,27.0,GDR2_6074670424850403712,189.4281,-54.0756,9.33,13.6,2.6,0.98,14.0,5.9,3.5
TIC_80715924,9.0,-1.0,GDR2_5519577444081259264,122.0554,-46.0113,3.06,17.3,3.3,0.99,7.3,2.5,2.6
TIC_80483782,19.0,-1.0,GDR2_5519567857714123264,121.7406,-46.2153,6.1,15.4,2.9,0.99,13.7,2.7,4.0
TIC_80483633,9.0,-1.0,GDR2_5519572564998249216,121.7359,-46.1667,3.01,16.4,2.9,0.97,8.1,2.6,3.6
TIC_59234769,22.0,-1.0,GDR2_6010690289909581440,240.2483,-36.572,5.55,16.6,3.1,0.26,27.5,7.8,5.8
